expID,date,loc1,loc2,numLoc,district,distCode,accidentType,weather,vehicleType,personType,ageRange,sex,utmXcoord,utmYcoord,alcoholPositive,person_id,long,lat
2025S022654,2025-02-25T22:15:00Z,CALLE ELOY GONZALO,CALLE CARDENAL CISNEROS,10,Chamberí,7,Rear-end collision,SKC,Motocicleta hasta 125cc,Passenger,30 to 34 years,Female,440380.0,4476153.0,False,3,-3.7029223904041384,40.433883017490366
2025S022655,2025-02-25T22:55:00Z,CALLE RIOS ROSAS,CALLE BRAVO MURILLO,1,Chamberí,7,Rear-end collision,SKC,Otros vehículos con motor,Driver,50 to 54 years,Male,440313.0,4477070.0,False,1,-3.7037984048532864,40.44213894963657
2025S022655,2025-02-25T22:55:00Z,CALLE RIOS ROSAS,CALLE BRAVO MURILLO,1,Chamberí,7,Rear-end collision,SKC,passenger car,Driver,45 to 49 years,Female,440313.0,4477070.0,False,2,-3.7037984048532864,40.44213894963657
2025S022690,2025-02-26T00:20:00Z,AUTOV. A-5,CALLE VILLAGARCIA,+00300E,Latina,10,Other,SKC,passenger car,Driver,40 to 44 years,Male,437573.0,4473756.0,False,1,-3.7357791919368677,40.41208393902259
2025S022699,2025-02-25T23:15:00Z,AVDA. INGENIERO EMILIO HERRERA,CALLE PRINCIPE CARLOS,37,Hortaleza,16,Front-to-side collision,SKC,van,Driver,55 to 59 years,Male,444688.0,4482564.0,False,1,-3.6526929020743535,40.49193412959748
2025S022699,2025-02-25T23:15:00Z,AVDA. INGENIERO EMILIO HERRERA,CALLE PRINCIPE CARLOS,37,Hortaleza,16,Front-to-side collision,SKC,passenger car,Driver,21 to 24 years,Male,444688.0,4482564.0,False,2,-3.6526929020743535,40.49193412959748
2025S022769,2025-02-26T03:50:00Z,"CALLE ANTONIO LOPEZ, 25",,25,Carabanchel,11,Side collision,SKC,passenger car,Driver,45 to 49 years,Male,439452.0,4472035.0,False,1,-3.713470795813788,40.39671916429174
2025S022769,2025-02-26T03:50:00Z,"CALLE ANTONIO LOPEZ, 25",,25,Carabanchel,11,Side collision,SKC,passenger car,Driver,,,439452.0,4472035.0,,2,-3.713470795813788,40.39671916429174
2025S022789,2025-02-26T06:48:00Z,CALLE MARIA DE MOLINA,Serrano,19,Chamartín,5,Side collision,SKC,passenger car,Driver,35 to 39 years,Male,441803.0,4476572.0,False,1,-3.6861846857393745,40.43775835568861
2025S022789,2025-02-26T06:48:00Z,CALLE MARIA DE MOLINA,Serrano,19,Chamartín,5,Side collision,SKC,passenger car,Driver,45 to 49 years,Female,441803.0,4476572.0,False,2,-3.6861846857393745,40.43775835568861
2025S022796,2025-02-26T06:52:00Z,CALLE LOPEZ DE HOYOS,CALLE PRINCIPE DE VERGARA,39,Chamartín,5,Collision with fixed object,SKC,truck,Driver,45 to 49 years,Male,442414.0,4476961.0,False,1,-3.679016293740349,40.44130518955992
2025S022806,2025-02-26T07:54:00Z,PASEO. PRADO,PLAZA. EMPERADOR CARLOS V,13,Retiro,3,Side collision,overcast,van,Driver,45 to 49 years,Male,441274.0,4473442.0,False,1,-3.6921324746006037,40.40952461731888
2025S022806,2025-02-26T07:54:00Z,PASEO. PRADO,PLAZA. EMPERADOR CARLOS V,13,Retiro,3,Side collision,overcast,van,Driver,45 to 49 years,Female,441274.0,4473442.0,False,2,-3.6921324746006037,40.40952461731888
2025S022819,2025-02-25T11:40:00Z,"CALLE ALFONSO GOMEZ, 40",,40,San Blas-Canillejas,20,Front-to-side collision,SKC,truck,Driver,45 to 49 years,Male,446865.0,4476206.0,False,1,-3.626472989921772,40.43480005658276
2025S022819,2025-02-25T11:40:00Z,"CALLE ALFONSO GOMEZ, 40",,40,San Blas-Canillejas,20,Front-to-side collision,SKC,van,Driver,50 to 54 years,Male,446865.0,4476206.0,False,2,-3.626472989921772,40.43480005658276
2025S022825,2025-02-26T07:40:00Z,CALLE ALCALA,CALLE ARGENTINA,339,Ciudad Lineal,15,Fall,SKC,Motocicleta hasta 125cc,Driver,25 to 29 years,Male,444973.0,4476030.0,False,1,-3.6487635017872346,40.433091524743155
2025S022825,2025-02-26T07:40:00Z,CALLE ALCALA,CALLE ARGENTINA,339,Ciudad Lineal,15,Fall,SKC,passenger car,Driver,,,444973.0,4476030.0,False,2,-3.6487635017872346,40.433091524743155
2025S022827,2025-02-26T07:40:00Z,CALLE DOCTOR ESQUERDO,PLAZA. CONDE DE CASAL,171,Retiro,3,Side collision,SKC,passenger car,Driver,40 to 44 years,Male,443142.0,4473152.0,False,1,-3.6700921534545916,40.407041825394295
2025S022827,2025-02-26T07:40:00Z,CALLE DOCTOR ESQUERDO,PLAZA. CONDE DE CASAL,171,Retiro,3,Side collision,SKC,passenger car,Driver,55 to 59 years,Male,443142.0,4473152.0,False,2,-3.6700921534545916,40.407041825394295
2025S022827,2025-02-26T07:40:00Z,CALLE DOCTOR ESQUERDO,PLAZA. CONDE DE CASAL,171,Retiro,3,Side collision,SKC,passenger car,Passenger,55 to 59 years,Female,443142.0,4473152.0,False,3,-3.6700921534545916,40.407041825394295
2025S022828,2025-02-26T08:40:00Z,CALLE FUENCARRAL,CALLE ALBURQUERQUE,132,Chamberí,7,Collision with pedestrian,SKC,moped,Driver,30 to 34 years,Female,440352.0,4475843.0,False,1,-3.7032233953930906,40.43108839116415
2025S022828,2025-02-26T08:40:00Z,CALLE FUENCARRAL,CALLE ALBURQUERQUE,132,Chamberí,7,Collision with pedestrian,SKC,moped,Pedestrian,65 to 69 years,Female,440352.0,4475843.0,False,2,-3.7032233953930906,40.43108839116415
2025S022829,2025-02-26T09:20:00Z,CALLE ALMAGRO,CALLE ZURBANO,24,Chamberí,7,Front-to-side collision,SKC,sport motorcycle,Driver,,,441165.0,4475671.0,False,1,-3.6936232377531866,40.42959683677986
2025S022829,2025-02-26T09:20:00Z,CALLE ALMAGRO,CALLE ZURBANO,24,Chamberí,7,Front-to-side collision,SKC,sport motorcycle,Driver,,,441165.0,4475671.0,False,2,-3.6936232377531866,40.42959683677986
2025S022829,2025-02-26T09:20:00Z,CALLE ALMAGRO,CALLE ZURBANO,24,Chamberí,7,Front-to-side collision,SKC,Motocicleta hasta 125cc,Driver,25 to 29 years,Male,441165.0,4475671.0,False,3,-3.6936232377531866,40.42959683677986
2025S022829,2025-02-26T09:20:00Z,CALLE ALMAGRO,CALLE ZURBANO,24,Chamberí,7,Front-to-side collision,SKC,Motocicleta hasta 125cc,Driver,,,441165.0,4475671.0,False,4,-3.6936232377531866,40.42959683677986
2025S022829,2025-02-26T09:20:00Z,CALLE ALMAGRO,CALLE ZURBANO,24,Chamberí,7,Front-to-side collision,SKC,passenger car,Driver,35 to 39 years,Female,441165.0,4475671.0,False,5,-3.6936232377531866,40.42959683677986
2025S022830,2025-02-26T09:25:00Z,"AVDA. LAS AGUILAS, 2A",,2A,Latina,10,Collision with pedestrian,SKC,passenger car,Driver,55 to 59 years,Female,435194.0,4470778.0,False,1,-3.7635131954227696,40.3850751634581
2025S022830,2025-02-26T09:25:00Z,"AVDA. LAS AGUILAS, 2A",,2A,Latina,10,Collision with pedestrian,SKC,passenger car,Pedestrian,45 to 49 years,Female,435194.0,4470778.0,False,2,-3.7635131954227696,40.3850751634581
2025S022831,2025-02-26T08:10:00Z,AUTOV. A-3,AVDA. PABLO NERUDA,+00600E,Moratalaz,14,Rear-end collision,SKC,van,Driver,45 to 49 years,Male,445739.0,4471726.0,False,1,-3.6393658701797063,40.39436885917724
2025S022831,2025-02-26T08:10:00Z,AUTOV. A-3,AVDA. PABLO NERUDA,+00600E,Moratalaz,14,Rear-end collision,SKC,passenger car,Driver,55 to 59 years,Male,445739.0,4471726.0,False,2,-3.6393658701797063,40.39436885917724
2025S022833,2025-02-26T08:01:00Z,CALLE ERASMO DE ROTTERDAM,CALLE KEYNES,2,Fuencarral-El Pardo,8,Side collision,SKC,Motocicleta hasta 125cc,Driver,15 to 17 years,Male,440772.0,4488793.0,False,1,-3.699482349150521,40.54777675450543
2025S022833,2025-02-26T08:01:00Z,CALLE ERASMO DE ROTTERDAM,CALLE KEYNES,2,Fuencarral-El Pardo,8,Side collision,SKC,passenger car,Driver,25 to 29 years,Male,440772.0,4488793.0,False,2,-3.699482349150521,40.54777675450543
