id_participacion,num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,wikidata_distrito_uri,wikidata_distrito_qid,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S025267-31716,2024S025267,2024-09-03,20:21:00,Avda. Pablo Neruda / Call. Arenas De Iguña,30,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Colisión Fronto-lateral,Despejado,Turismo,Pasajero,De 21 A 24 Años,Desconocido,14,Sin Asistencia Sanitaria,445414,4471275,,
2024S025267-31717,2024S025267,2024-09-03,20:21:00,Avda. Pablo Neruda / Call. Arenas De Iguña,30,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,Q2003054,Colisión Fronto-lateral,Despejado,Turismo,Pasajero,De 25 A 29 Años,Desconocido,14,Sin Asistencia Sanitaria,445414,4471275,,
2024S025268-31718,2024S025268,2024-09-03,22:10:00,"Autov. M-40, +00300i",+00300I,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,Q1928529,Colisión Lateral,Despejado,,Conductor,Desconocido,Desconocido,,,445204,4481311,,
2024S025268-31719,2024S025268,2024-09-03,22:10:00,"Autov. M-40, +00300i",+00300I,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,Q1928529,Colisión Lateral,Despejado,Turismo,Conductor,De 50 A 54 Años,Desconocido,,,445204,4481311,,
2024S025270-31720,2024S025270,2024-09-03,22:00:00,"Call. Genova, 20",20,1,Centro,http://www.wikidata.org/entity/Q1763376,Q1763376,Colisión Lateral,Despejado,Turismo,Conductor,De 50 A 54 Años,Desconocido,14,Sin Asistencia Sanitaria,441201,4475309,,
2024S025270-31721,2024S025270,2024-09-03,22:00:00,"Call. Genova, 20",20,1,Centro,http://www.wikidata.org/entity/Q1763376,Q1763376,Colisión Lateral,Despejado,Vmu Eléctrico,Conductor,De 25 A 29 Años,Desconocido,2,Ingreso Inferior O Igual A 24 Horas,441201,4475309,,
2024S025271-31722,2024S025271,2024-09-03,22:30:00,Call. Embajadores / Call. Divino Valles,151,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,Q2000929,Colisión Lateral,Despejado,Motocicleta > 125cc,Conductor,De 35 A 39 Años,Desconocido,,,440912,4471984,,
2024S025271-31723,2024S025271,2024-09-03,22:30:00,Call. Embajadores / Call. Divino Valles,151,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,Q2000929,Colisión Lateral,Despejado,Turismo,Conductor,De 25 A 29 Años,Desconocido,,,440912,4471984,,
2024S025272-31724,2024S025272,2024-09-03,23:13:00,Call. Maiquez / Call. O'donnell,7,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Lateral,Despejado,Autobús,Conductor,De 25 A 29 Años,Desconocido,14,Sin Asistencia Sanitaria,442925,4474764,,
2024S025272-31725,2024S025272,2024-09-03,23:13:00,Call. Maiquez / Call. O'donnell,7,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,442925,4474764,,
2024S025272-31726,2024S025272,2024-09-03,23:13:00,Call. Maiquez / Call. O'donnell,7,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Colisión Lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,442925,4474764,,
2024S025273-31727,2024S025273,2024-09-03,22:35:00,"Call. Antonio Lopez, 1",1,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,Q1001991,Alcance,Despejado,Turismo,Conductor,De 25 A 29 Años,Desconocido,,,439292,4472140,,
2024S025273-31728,2024S025273,2024-09-03,22:35:00,"Call. Antonio Lopez, 1",1,11,Carabanchel,http://www.wikidata.org/entity/Q1001991,Q1001991,Alcance,Despejado,Turismo,Conductor,De 25 A 29 Años,Desconocido,,,439292,4472140,,
2024S025274-31729,2024S025274,2024-09-04,0:45:00,Call. Ferraz / Call. Irun,7,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Caída,Despejado,Ciclomotor,Conductor,De 21 A 24 Años,Desconocido,1,Atención En Urgencias Sin Posterior Ingreso,439332,4475026,,
2024S025275-31730,2024S025275,2024-09-03,23:00:00,Call. Villaamil / Call. San Restituto,79,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Colisión Frontal,Despejado,Bicicleta Epac (pedaleo Asistido),Conductor,Desconocido,Desconocido,,,439860,4479549,,
