idTram,infoDisponible,data,tempsActual,tempsPrevist,tempsRecorregutFutur,factorReferenciaActual,tendencia
43,0,20250801003552,0,0,-1,-1,-1
44,0,20250801003552,0,0,-1,-1,-1
45,0,20250801003552,0,0,-1,-1,-1
46,0,20250801003552,0,0,-1,-1,-1
47,1,20250801003552,180,180,1,1,1
48,0,20250801003552,0,0,-1,-1,-1
49,1,20250801003552,304,304,1,1,1
50,1,20250801003552,190,190,1,1,1
51,1,20250801003552,269,269,1,1,1
52,1,20250801003552,299,299,1,1,1
53,1,20250801003552,149,149,1,1,1
54,1,20250801003552,164,164,1,1,1
55,1,20250801003552,0,0,-1,-1,-1
56,1,20250801003552,0,0,-1,-1,-1
57,1,20250801003552,0,0,-1,-1,-1
58,1,20250801003552,0,0,-1,-1,-1
59,1,20250801003552,164,164,1,1,1
60,1,20250801003552,414,414,1,1,1
61,1,20250801003552,337,327,0,0,1
62,0,20250801003552,1108,1108,1,1,1
63,0,20250801003552,0,0,-1,-1,-1
64,0,20250801003552,0,0,-1,-1,-1
65,1,20250801003552,134,134,1,1,1
66,1,20250801003552,0,0,-1,-1,-1
67,1,20250801003552,201,203,1,1,1
68,1,20250801003552,115,113,1,1,1
69,1,20250801003552,145,133,0,1,2
70,1,20250801003552,141,137,1,1,1
71,0,20250801003552,96,95,1,1,1
72,0,20250801003552,180,174,1,1,1
73,0,20250801003552,123,117,1,1,1
74,0,20250801003552,100,108,1,1,1
75,0,20250801003552,230,221,1,1,1
76,0,20250801003552,88,87,1,1,1
77,1,20250801003552,430,430,1,1,1
78,1,20250801003552,425,425,1,1,1
1,1,20250801004552,300,300,1,1,1
2,1,20250801004552,0,0,-1,-1,-1
3,1,20250801004552,304,304,1,1,1
4,1,20250801004552,325,325,1,1,1
5,1,20250801004552,174,174,1,1,1
6,1,20250801004552,275,275,1,1,1
7,1,20250801004552,187,187,1,1,1
8,0,20250801004552,0,0,-1,-1,-1
9,0,20250801004552,0,0,-1,-1,-1
10,1,20250801004552,171,172,1,1,1
11,1,20250801004552,0,0,-1,-1,-1
12,1,20250801004552,99,99,1,1,1
13,1,20250801004552,233,236,1,1,1
14,0,20250801004552,0,0,-1,-1,-1
15,1,20250801004552,220,223,1,1,1
16,1,20250801004552,237,237,1,1,1
17,1,20250801004552,192,192,1,1,1
18,1,20250801004552,0,0,-1,-1,-1
19,0,20250801004552,0,0,-1,-1,-1
20,0,20250801004552,0,0,-1,-1,-1
21,1,20250801004552,0,0,-1,-1,-1
22,1,20250801004552,270,270,1,1,1
23,1,20250801004552,189,189,1,1,1
24,1,20250801004552,0,0,-1,-1,-1
25,1,20250801004552,0,0,-1,-1,-1
26,1,20250801004552,0,0,-1,-1,-1
27,1,20250801004552,185,185,1,1,1
28,1,20250801004552,0,0,-1,-1,-1
29,1,20250801004552,363,363,1,1,1
30,1,20250801004552,394,395,1,1,1
31,1,20250801004552,219,219,1,1,1
32,1,20250801004552,0,0,-1,-1,-1
33,1,20250801004552,0,0,-1,-1,-1
34,1,20250801004552,220,220,1,1,1
35,1,20250801004552,150,150,1,1,1
36,1,20250801004552,0,0,-1,-1,-1
37,1,20250801004552,205,205,1,1,1
38,1,20250801004552,204,204,1,1,1
39,1,20250801004552,108,108,1,1,1
40,1,20250801004552,0,0,-1,-1,-1
41,0,20250801004552,0,0,-1,-1,-1
42,1,20250801004552,207,207,1,1,1
