Name,Neighborhood_id,Neighborhood_name,wikidata_neighborhood,District_id,District_name,wikidata_district,Latitud,Longitud
Aparcament Cotxeres De Sarria,23,Sarrià,http://www.wikidata.org/entity/Q3043699,5,Sarrià-Sant Gervasi,http://www.wikidata.org/entity/Q1765582,41.392529493456195,2.129163968172672
Aparcament Francesc Layret,51,Verdun,http://www.wikidata.org/entity/Q3750551,8,Nou Barris,http://www.wikidata.org/entity/Q1641049,41.442035374828976,2.177413673469187
Aparcament De Bicicletes Parking Bike,2,Gothic Quarter,http://www.wikidata.org/entity/Q17154,1,Ciutat Vella,http://www.wikidata.org/entity/Q941385,41.38206687885175,2.1799641488047112
Aparcament Saba Pau Casals,26,Sant Gervasi-Galvany,http://www.wikidata.org/entity/Q3389521,5,Sarrià-Sant Gervasi,http://www.wikidata.org/entity/Q1765582,41.39372705052941,2.1432018187223183
Aparcament Hospital Clínic,8,L'Antiga Esquerra de l'Eixample,http://www.wikidata.org/entity/Q3291762,2,Eixample,http://www.wikidata.org/entity/Q64124,41.38940083048422,2.1539687838019392
Aparcament Bilbao - Llull,68,El Poblenou,http://www.wikidata.org/entity/Q1404773,10,Sant Martí,http://www.wikidata.org/entity/Q250935,41.40238689007209,2.204896714047769
Aparcament Plaça De Les Arts,5,Fort Pienc,http://www.wikidata.org/entity/Q2107762,2,Eixample,http://www.wikidata.org/entity/Q64124,41.40010057699229,2.1845121120785893
Aparcament Maragall,64,El Camp de l'Arpa del Clot,http://www.wikidata.org/entity/Q3294602,10,Sant Martí,http://www.wikidata.org/entity/Q250935,41.41614143901906,2.1806022091290447
Aparcament De Sant Genís - Vall D'hebron,41,Vall d'Hebron,http://www.wikidata.org/entity/Q3298492,7,Horta-Guinardó,http://www.wikidata.org/entity/Q1771488,41.42683886790188,2.1437095047319734
Aparcament Torrent De L'olla,31,Vila de Gràcia,http://www.wikidata.org/entity/Q2741611,6,Gràcia,http://www.wikidata.org/entity/Q852697,41.40722305485605,2.1513113019015346
Aparcament  Saba Gràcia I (diagonal/ Jardinets),31,Vila de Gràcia,http://www.wikidata.org/entity/Q2741611,6,Gràcia,http://www.wikidata.org/entity/Q852697,41.397027420081876,2.15944229796113
Aparcament Ferran Casablancas,25,Sant Gervasi-la Bonanova,http://www.wikidata.org/entity/Q3321657,5,Sarrià-Sant Gervasi,http://www.wikidata.org/entity/Q1765582,41.40152762909788,2.1334060660078245
"Aparcament Saba Gran Via Ii   (pg De Gràcia,  Gran Via-aragó)",7,Dreta de l'Eixample,http://www.wikidata.org/entity/Q1904302,2,Eixample,http://www.wikidata.org/entity/Q64124,41.39084827025503,2.1671026474952755
