ESTACION,MAGNITUD,pollutantLabel,Pollutant_URI,PUNTO_MUESTREO,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
18,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079018_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,1,V,2,V,1,V,1,V,1,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,N
18,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079018_8_8,13,V,16,V,18,V,8,V,7,V,7,V,11,V,21,V,26,V,24,V,19,V,13,V,11,V,13,V,12,V,10,V,11,V,14,V,17,V,21,V,25,V,19,V,10,V,0,N
24,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079024_10_47,11,V,9,V,8,V,11,V,12,V,10,V,10,V,11,V,14,V,0,N,0,N,17,V,16,V,18,V,17,V,16,V,13,V,13,V,12,V,12,V,10,V,12,V,15,V,0,N
24,12,NOx,https://www.wikidata.org/entity/Q20962970,28079024_12_8,11,V,16,V,7,V,6,V,6,V,6,V,6,V,10,V,16,V,0,N,0,N,0,N,0,N,11,V,9,V,8,V,6,V,8,V,9,V,12,V,15,V,13,V,6,V,0,N
24,14,ozone,https://www.wikidata.org/entity/Q36933,28079024_14_6,83,V,75,V,80,V,78,V,77,V,73,V,71,V,70,V,66,V,0,N,0,N,0,N,87,V,91,V,96,V,94,V,93,V,90,V,86,V,79,V,72,V,71,V,75,V,0,N
24,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079024_7_8,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,0,N,0,N,0,N,0,N,2,V,2,V,1,V,1,V,1,V,1,V,0,V,1,V,1,V,1,V,0,N
24,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079024_8_8,10,V,14,V,6,V,4,V,5,V,5,V,5,V,8,V,15,V,0,N,0,N,0,N,0,N,8,V,7,V,6,V,5,V,6,V,8,V,11,V,14,V,12,V,5,V,0,N
24,9,PM 2.5,https://www.wikidata.org/entity/Q48035814,28079024_9_47,5,V,4,V,4,V,6,V,7,V,5,V,5,V,6,V,8,V,0,N,0,N,9,V,5,V,6,V,6,V,8,V,7,V,7,V,5,V,5,V,4,V,5,V,6,V,0,N
27,12,NOx,https://www.wikidata.org/entity/Q20962970,28079027_12_8,24,V,20,V,15,V,12,V,15,V,16,V,39,V,70,V,59,V,44,V,20,V,10,V,6,V,11,V,11,V,7,V,11,V,12,V,11,V,19,V,11,V,11,V,15,V,0,N
27,14,ozone,https://www.wikidata.org/entity/Q36933,28079027_14_6,68,V,64,V,63,V,67,V,56,V,48,V,37,V,23,V,31,V,45,V,69,V,79,V,85,V,86,V,86,V,86,V,84,V,83,V,81,V,75,V,75,V,73,V,66,V,0,N
27,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079027_7_8,2,V,1,V,1,V,1,V,1,V,1,V,3,V,9,V,7,V,6,V,3,V,2,V,1,V,2,V,2,V,1,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,0,N
27,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079027_8_8,21,V,19,V,14,V,11,V,14,V,14,V,34,V,56,V,49,V,35,V,16,V,7,V,4,V,8,V,8,V,5,V,8,V,9,V,9,V,17,V,10,V,10,V,14,V,0,N
35,1,sulfur dioxide,https://www.wikidata.org/entity/Q5282,28079035_1_38,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,5,V,4,V,5,V,5,V,4,V,4,V,0,N
35,12,NOx,https://www.wikidata.org/entity/Q20962970,28079035_12_8,15,V,26,V,11,V,13,V,10,V,11,V,15,V,22,V,29,V,28,V,30,V,18,V,23,V,21,V,21,V,21,V,18,V,26,V,26,V,26,V,34,V,22,V,14,V,0,N
35,14,ozone,https://www.wikidata.org/entity/Q36933,28079035_14_6,82,V,66,V,77,V,79,V,75,V,69,V,66,V,61,V,58,V,60,V,65,V,78,V,81,V,87,V,90,V,88,V,85,V,80,V,78,V,72,V,60,V,66,V,71,V,0,N
35,6,carbon monoxide,https://www.wikidata.org/entity/Q2025,28079035_6_48,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0,N
35,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079035_7_8,1,V,1,V,1,V,2,V,1,V,1,V,2,V,3,V,4,V,4,V,6,V,3,V,5,V,4,V,4,V,4,V,3,V,5,V,5,V,2,V,2,V,1,V,2,V,0,N
35,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079035_8_8,14,V,25,V,10,V,10,V,8,V,9,V,12,V,18,V,24,V,23,V,21,V,13,V,15,V,15,V,14,V,15,V,13,V,19,V,18,V,22,V,30,V,20,V,11,V,0,N
36,1,sulfur dioxide,https://www.wikidata.org/entity/Q5282,28079036_1_38,3,V,4,V,4,V,4,V,3,V,3,V,3,V,3,V,4,V,4,V,3,V,3,V,4,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,3,V,0,N
36,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079036_10_47,11,V,9,V,9,V,11,V,11,V,12,V,12,V,13,V,18,V,23,V,22,V,28,V,41,V,21,V,17,V,15,V,16,V,14,V,18,V,17,V,18,V,15,V,16,V,0,N
36,12,NOx,https://www.wikidata.org/entity/Q20962970,28079036_12_8,5,V,7,V,8,V,5,V,4,V,9,V,13,V,20,V,36,V,32,V,15,V,11,V,12,V,12,V,8,V,9,V,6,V,9,V,12,V,18,V,15,V,8,V,6,V,0,N
36,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079036_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,3,V,4,V,2,V,1,V,2,V,2,V,1,V,2,V,1,V,1,V,1,V,2,V,1,V,0,V,0,V,0,N
36,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079036_8_8,5,V,7,V,8,V,5,V,4,V,9,V,13,V,20,V,31,V,26,V,13,V,9,V,9,V,9,V,6,V,7,V,5,V,7,V,10,V,15,V,14,V,8,V,6,V,0,N
38,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079038_10_47,12,V,10,V,10,V,10,V,12,V,11,V,13,V,15,V,29,V,23,V,31,V,19,V,14,V,14,V,8,V,14,V,14,V,13,V,10,V,9,V,14,V,12,V,18,V,0,N
38,12,NOx,https://www.wikidata.org/entity/Q20962970,28079038_12_8,14,V,14,V,5,V,4,V,6,V,8,V,15,V,24,V,50,V,47,V,35,V,26,V,25,V,22,V,23,V,19,V,29,V,32,V,31,V,44,V,38,V,21,V,10,V,0,N
38,20,toluene,https://www.wikidata.org/entity/Q15779,28079038_20_59,1.2,V,1,V,0.9,V,1.1,V,1,V,0.8,V,0.8,V,1.1,V,1.9,V,2.9,V,2.2,V,2,V,1.9,V,2.8,V,2.4,V,1.8,V,2.1,V,2.4,V,2.1,V,5.3,V,4.4,V,2.6,V,1.2,V,0,N
38,30,benzene,https://www.wikidata.org/entity/Q2270,28079038_30_59,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.3,V,0.4,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.4,V,0.5,V,0.4,V,0.2,V,0,N
38,35,ethylbenzene,https://www.wikidata.org/entity/Q409184,28079038_35_59,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.1,V,0.1,V,0.2,V,0.3,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.3,V,0.4,V,0.4,V,0.4,V,0.2,V,0,N
38,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079038_7_8,1,V,1,V,1,V,0,V,0,V,1,V,3,V,4,V,13,V,13,V,10,V,7,V,7,V,6,V,6,V,5,V,8,V,9,V,7,V,10,V,7,V,4,V,2,V,0,N
