num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,same_as_wikidata_district,tipo_accidente,estado_meteorológico,tipo_vehiculo,same_as_wikidata_tipo_vehiculo,tipo_persona,rango_edad,sexo,same_as_wikidata_sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S017886,14/02/2025,17:20:00,"AUTOV. M-30, 09VU57",09VU57,8,Fuencarral-El Pardo,hhtps://wikidata.org/entity/Q656196,Colisión lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,Más de 74 años,female,https://wikidata.org/entity/Q6581072,,,440795,4482492,false,
2025S017887,14/02/2025,15:30:00,GTA. CUATRO CAMINOS / AVDA. REINA VICTORIA,4,6,Tetuán,hhtps://wikidata.org/entity/Q1773540,Colisión lateral,Despejado,bus,https://wikidata.org/entity/Q5638,Conductor,De 35 a 39 años,male,https://wikidata.org/entity/Q6581097,,,440289,4477591,false,
2025S017887,14/02/2025,15:30:00,GTA. CUATRO CAMINOS / AVDA. REINA VICTORIA,4,6,Tetuán,hhtps://wikidata.org/entity/Q1773540,Colisión lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 50 a 54 años,male,https://wikidata.org/entity/Q6581097,,,440289,4477591,false,
2025S017893,14/02/2025,18:35:00,"AUTOV. A-2, +00500E",+00500E,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Alcance,,car,https://wikidata.org/entity/Q1420,Conductor,De 30 a 34 años,female,https://wikidata.org/entity/Q6581072,14,Sin asistencia sanitaria,444410,4477517,false,
2025S017893,14/02/2025,18:35:00,"AUTOV. A-2, +00500E",+00500E,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Alcance,,car,https://wikidata.org/entity/Q1420,Conductor,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,444410,4477517,false,
2025S017899,14/02/2025,15:45:00,CALL. ELOY GONZALO / CALL. GENERAL ALVAREZ DE CASTRO,22,7,Chamberí,hhtps://wikidata.org/entity/Q1763370,Colisión múltiple,Despejado,truck,https://wikidata.org/entity/Q43193,Conductor,De 30 a 34 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,440491,4476194,false,
2025S017899,14/02/2025,15:45:00,CALL. ELOY GONZALO / CALL. GENERAL ALVAREZ DE CASTRO,22,7,Chamberí,hhtps://wikidata.org/entity/Q1763370,Colisión múltiple,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Conductor,De 40 a 44 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,440491,4476194,false,
2025S017899,14/02/2025,15:45:00,CALL. ELOY GONZALO / CALL. GENERAL ALVAREZ DE CASTRO,22,7,Chamberí,hhtps://wikidata.org/entity/Q1763370,Colisión múltiple,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 35 a 39 años,female,https://wikidata.org/entity/Q6581072,7,Asistencia sanitaria sólo en el lugar del accidente,440491,4476194,false,
2025S017904,14/02/2025,20:15:00,AVDA. EURO / CALL. AGUACATE,20,11,Carabanchel,hhtps://wikidata.org/entity/Q1001991,Colisión fronto-lateral,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Conductor,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,6,Asistencia sanitaria inmediata en centro de salud o mutua,437055,4468932,false,
2025S017904,14/02/2025,20:15:00,AVDA. EURO / CALL. AGUACATE,20,11,Carabanchel,hhtps://wikidata.org/entity/Q1001991,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 35 a 39 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,437055,4468932,false,
2025S017904,14/02/2025,20:15:00,AVDA. EURO / CALL. AGUACATE,20,11,Carabanchel,hhtps://wikidata.org/entity/Q1001991,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Pasajero,De 30 a 34 años,female,https://wikidata.org/entity/Q6581072,14,Sin asistencia sanitaria,437055,4468932,false,
2025S017909,14/02/2025,19:20:00,"AUTOV. M-30, 08NL80",08NL80,3,Retiro,hhtps://wikidata.org/entity/Q2002296,Alcance,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Conductor,De 15 a 17 años,male,https://wikidata.org/entity/Q6581097,2,Ingreso inferior o igual a 24 horas,443637,4473376,false,
2025S017909,14/02/2025,19:20:00,"AUTOV. M-30, 08NL80",08NL80,3,Retiro,hhtps://wikidata.org/entity/Q2002296,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 50 a 54 años,female,https://wikidata.org/entity/Q6581072,14,Sin asistencia sanitaria,443637,4473376,false,
2025S017923,14/02/2025,19:08:00,AVDA. CIUDAD DE BARCELONA / CALL. LEON GIL DE PALACIO,45,3,Retiro,hhtps://wikidata.org/entity/Q2002296,Colisión fronto-lateral,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Conductor,De 35 a 39 años,male,https://wikidata.org/entity/Q6581097,1,Atención en urgencias sin posterior ingreso,442408,4472733,false,
2025S017923,14/02/2025,19:08:00,AVDA. CIUDAD DE BARCELONA / CALL. LEON GIL DE PALACIO,45,3,Retiro,hhtps://wikidata.org/entity/Q2002296,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 55 a 59 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,442408,4472733,false,
2025S017923,14/02/2025,19:08:00,AVDA. CIUDAD DE BARCELONA / CALL. LEON GIL DE PALACIO,45,3,Retiro,hhtps://wikidata.org/entity/Q2002296,Colisión fronto-lateral,Despejado,car,https://wikidata.org/entity/Q1420,Pasajero,De 55 a 59 años,female,https://wikidata.org/entity/Q6581072,14,Sin asistencia sanitaria,442408,4472733,false,
2025S017924,14/02/2025,20:56:00,"AUTOV. M-30, 07RE30",07RE30,3,Retiro,hhtps://wikidata.org/entity/Q2002296,Choque contra obstáculo fijo,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 30 a 34 años,female,https://wikidata.org/entity/Q6581072,7,Asistencia sanitaria sólo en el lugar del accidente,444044,4474437,true,
2025S017925,14/02/2025,17:50:00,AUTOV. M-30 PK 8.100 CALZADA INTERIOR LATERAL,08NL10,3,Retiro,hhtps://wikidata.org/entity/Q2002296,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 35 a 39 años,female,https://wikidata.org/entity/Q6581072,,,443916,4473985,false,
2025S017925,14/02/2025,17:50:00,AUTOV. M-30 PK 8.100 CALZADA INTERIOR LATERAL,08NL10,3,Retiro,hhtps://wikidata.org/entity/Q2002296,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,,,443916,4473985,false,
2025S017926,14/02/2025,18:30:00,A-4 SALIDA P.K. 4.600,+00400S,13,Puente de Vallecas,hhtps://wikidata.org/entity/Q2003054,Alcance,,van,https://wikidata.org/entity/Q193468,Conductor,De 50 a 54 años,male,https://wikidata.org/entity/Q6581097,,,441821,4469959,false,
2025S017926,14/02/2025,18:30:00,A-4 SALIDA P.K. 4.600,+00400S,13,Puente de Vallecas,hhtps://wikidata.org/entity/Q2003054,Alcance,,car,https://wikidata.org/entity/Q1420,Conductor,De 50 a 54 años,male,https://wikidata.org/entity/Q6581097,,,441821,4469959,false,
2025S017926,14/02/2025,18:30:00,A-4 SALIDA P.K. 4.600,+00400S,13,Puente de Vallecas,hhtps://wikidata.org/entity/Q2003054,Alcance,,car,https://wikidata.org/entity/Q1420,Conductor,De 60 a 64 años,female,https://wikidata.org/entity/Q6581072,,,441821,4469959,false,
2025S017927,14/02/2025,21:25:00,CALL. BENIDORM / CALL. ANGEL GONZALEZ TEJEDOR,5,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Alcance,Despejado,moped,https://wikidata.org/entity/Q201783,Conductor,De 40 a 44 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,444316,4475779,false,
2025S017927,14/02/2025,21:25:00,CALL. BENIDORM / CALL. ANGEL GONZALEZ TEJEDOR,5,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,444316,4475779,true,
2025S017931,14/02/2025,21:50:00,AVDA. ANDES / CALL. AÑIL,50,16,Hortaleza,hhtps://wikidata.org/entity/Q1928529,Colisión lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 40 a 44 años,male,https://wikidata.org/entity/Q6581097,,,447602,4478689,false,
2025S017931,14/02/2025,21:50:00,AVDA. ANDES / CALL. AÑIL,50,16,Hortaleza,hhtps://wikidata.org/entity/Q1928529,Colisión lateral,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,,,447602,4478689,false,
2025S017931,14/02/2025,21:50:00,AVDA. ANDES / CALL. AÑIL,50,16,Hortaleza,hhtps://wikidata.org/entity/Q1928529,Colisión lateral,Despejado,car,https://wikidata.org/entity/Q1420,Pasajero,De 35 a 39 años,female,https://wikidata.org/entity/Q6581072,,,447602,4478689,false,
2025S017942,14/02/2025,21:50:00,CALL. ELOY GONZALO / CALL. GENERAL ALVAREZ DE CASTRO,22,7,Chamberí,hhtps://wikidata.org/entity/Q1763370,Caída,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,2,Ingreso inferior o igual a 24 horas,440501,4476199,false,
2025S017943,14/02/2025,20:20:00,AVDA. CERRO MILANO / CALL. JOSE GUTIERREZ MAROTO,39,18,Villa de Vallecas,hhtps://wikidata.org/entity/Q1947988,Alcance,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Conductor,De 35 a 39 años,male,https://wikidata.org/entity/Q6581097,1,Atención en urgencias sin posterior ingreso,448552,4468155,false,
2025S017943,14/02/2025,20:20:00,AVDA. CERRO MILANO / CALL. JOSE GUTIERREZ MAROTO,39,18,Villa de Vallecas,hhtps://wikidata.org/entity/Q1947988,Alcance,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Pasajero,De 45 a 49 años,female,https://wikidata.org/entity/Q6581072,2,Ingreso inferior o igual a 24 horas,448552,4468155,false,
2025S017943,14/02/2025,20:20:00,AVDA. CERRO MILANO / CALL. JOSE GUTIERREZ MAROTO,39,18,Villa de Vallecas,hhtps://wikidata.org/entity/Q1947988,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Conductor,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,1,Atención en urgencias sin posterior ingreso,448552,4468155,false,
2025S017943,14/02/2025,20:20:00,AVDA. CERRO MILANO / CALL. JOSE GUTIERREZ MAROTO,39,18,Villa de Vallecas,hhtps://wikidata.org/entity/Q1947988,Alcance,Despejado,car,https://wikidata.org/entity/Q1420,Pasajero,De 30 a 34 años,male,https://wikidata.org/entity/Q6581097,1,Atención en urgencias sin posterior ingreso,448552,4468155,false,
2025S017944,14/02/2025,22:01:00,CALL. ALCALA / CALL. RAQUEL MELLER,236,15,Ciudad Lineal,hhtps://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,motorcycle,https://wikidata.org/entity/Q34493,Conductor,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,444227,4475898,false,
