nom_cabina,country,Commons category,population,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,18h,Buena,85 µg/m³,18h,Bona,14 µg/m³,18h,Buena,20 µg/m³,11/06/2018 19:00,1528736702
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,18h,Buena,82 µg/m³,18h,Bona,16 µg/m³,18h,Buena,21 µg/m³,11/06/2018 19:00,1528736702
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,18h,Bona,39 µg/m³,18h,Buena,24 µg/m³,11/06/2018 19:00,1528736702
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,19h,Bona,14 µg/m³,NA,NA,NA,11/06/2018 20:00,1528740302
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,19h,Buena,64 µg/m³,19h,Bona,50 µg/m³,19h,Buena,28 µg/m³,11/06/2018 20:00,1528740302
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,19h,Buena,64 µg/m³,19h,Bona,67 µg/m³,19h,Buena,22 µg/m³,11/06/2018 20:00,1528740302
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,19h,Buena,75 µg/m³,19h,Bona,19 µg/m³,NA,NA,NA,11/06/2018 20:00,1528740302
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,19h,Buena,82 µg/m³,19h,Bona,17 µg/m³,19h,Buena,20 µg/m³,11/06/2018 20:00,1528740302
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,19h,Buena,78 µg/m³,19h,Bona,20 µg/m³,19h,Buena,21 µg/m³,11/06/2018 20:00,1528740302
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,19h,Bona,39 µg/m³,19h,Buena,24 µg/m³,11/06/2018 20:00,1528740302
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,20h,Bona,15 µg/m³,NA,NA,NA,11/06/2018 21:00,1528743905
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,20h,Buena,60 µg/m³,20h,Bona,61 µg/m³,20h,Buena,29 µg/m³,11/06/2018 21:00,1528743905
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,20h,Buena,59 µg/m³,20h,Bona,86 µg/m³,20h,Buena,22 µg/m³,11/06/2018 21:00,1528743905
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,20h,Buena,80 µg/m³,20h,Bona,20 µg/m³,NA,NA,NA,11/06/2018 21:00,1528743905
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,20h,Buena,88 µg/m³,20h,Bona,14 µg/m³,20h,Buena,20 µg/m³,11/06/2018 21:00,1528743905
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,20h,Buena,75 µg/m³,20h,Bona,29 µg/m³,20h,Buena,21 µg/m³,11/06/2018 21:00,1528743905
Sant Martí,Spain,Sant Martí District,241181.0,Buena,I2,01,08019004,2.2045,41.4039,NA,NA,NA,20h,Bona,41 µg/m³,20h,Buena,24 µg/m³,11/06/2018 21:00,1528743905
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,20h,Bona,15 µg/m³,NA,NA,NA,11/06/2018 22:00,1528747502
Eixample,Spain,"Eixample, Barcelona",269349.0,Buena,IH,01,08019043,2.1538,41.3853,21h,Buena,53 µg/m³,21h,Bona,63 µg/m³,21h,Buena,29 µg/m³,11/06/2018 22:00,1528747502
