nom_cabina,country,Commons category,population,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,23h,Buena,21 µg/m³,23h,Bona,82 µg/m³,23h,Regular,38 µg/m³,22/06/2018 0:00,1529618703
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Regular,IL,01,08019050,2.1874,41.3864,23h,Buena,7 µg/m³,23h,Regular,95 µg/m³,NA,NA,NA,22/06/2018 0:00,1529618703
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,23h,Buena,41 µg/m³,23h,Bona,64 µg/m³,23h,Buena,26 µg/m³,22/06/2018 0:00,1529618703
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,23h,Buena,43 µg/m³,23h,Bona,54 µg/m³,23h,Buena,29 µg/m³,22/06/2018 0:00,1529618703
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,23h,Regular,95 µg/m³,23h,Regular,47 µg/m³,22/06/2018 0:00,1529618703
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,0h,Bona,26 µg/m³,NA,NA,NA,22/06/2018 1:00,1529622302
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,0h,Buena,36 µg/m³,0h,Bona,54 µg/m³,0h,Regular,45 µg/m³,22/06/2018 1:00,1529622302
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,0h,Buena,30 µg/m³,0h,Bona,65 µg/m³,0h,Regular,37 µg/m³,22/06/2018 1:00,1529622302
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,0h,Buena,28 µg/m³,0h,Bona,64 µg/m³,NA,NA,NA,22/06/2018 1:00,1529622302
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Regular,IN,01,08019054,2.148,41.4261,0h,Buena,11 µg/m³,0h,Regular,93 µg/m³,0h,Buena,26 µg/m³,22/06/2018 1:00,1529622302
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,0h,Buena,21 µg/m³,0h,Bona,69 µg/m³,0h,Buena,29 µg/m³,22/06/2018 1:00,1529622302
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,0h,Regular,98 µg/m³,0h,Regular,46 µg/m³,22/06/2018 1:00,1529622302
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,0h,--,--,NA,NA,NA,22/06/2018 2:00,1529625905
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,1h,Buena,18 µg/m³,1h,Bona,75 µg/m³,2h,Regular,46 µg/m³,22/06/2018 2:00,1529625905
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,1h,Buena,10 µg/m³,1h,Bona,81 µg/m³,2h,Regular,37 µg/m³,22/06/2018 2:00,1529625905
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,1h,Buena,6 µg/m³,1h,Bona,89 µg/m³,NA,NA,NA,22/06/2018 2:00,1529625905
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Regular,IN,01,08019054,2.148,41.4261,1h,Buena,4 µg/m³,1h,Regular,92 µg/m³,2h,Buena,27 µg/m³,22/06/2018 2:00,1529625905
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,1h,Buena,7 µg/m³,1h,Bona,80 µg/m³,2h,Buena,30 µg/m³,22/06/2018 2:00,1529625905
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,1h,Regular,96 µg/m³,2h,Regular,47 µg/m³,22/06/2018 2:00,1529625905
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,0h,--,--,NA,NA,NA,22/06/2018 3:00,1529629502
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,2h,Buena,15 µg/m³,2h,Bona,62 µg/m³,2h,Regular,45 µg/m³,22/06/2018 3:00,1529629502
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,2h,Buena,4 µg/m³,2h,Bona,82 µg/m³,2h,Regular,37 µg/m³,22/06/2018 3:00,1529629502
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,2h,Buena,10 µg/m³,2h,Bona,71 µg/m³,NA,NA,NA,22/06/2018 3:00,1529629502
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,2h,Buena,24 µg/m³,2h,Bona,64 µg/m³,2h,Buena,27 µg/m³,22/06/2018 3:00,1529629502
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,2h,Buena,2 µg/m³,2h,Bona,86 µg/m³,2h,Buena,30 µg/m³,22/06/2018 3:00,1529629502
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,2h,Regular,92 µg/m³,2h,Regular,47 µg/m³,22/06/2018 3:00,1529629502
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,2h,--,--,NA,NA,NA,22/06/2018 4:00,1529633105
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,3h,Buena,2 µg/m³,3h,Bona,76 µg/m³,4h,Regular,45 µg/m³,22/06/2018 4:00,1529633105
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,3h,Buena,1 µg/m³,3h,Bona,87 µg/m³,4h,Regular,37 µg/m³,22/06/2018 4:00,1529633105
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,3h,Buena,2 µg/m³,3h,Bona,80 µg/m³,NA,NA,NA,22/06/2018 4:00,1529633105
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,3h,Buena,51 µg/m³,3h,Bona,37 µg/m³,4h,Buena,28 µg/m³,22/06/2018 4:00,1529633105
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,3h,Buena,26 µg/m³,3h,Bona,54 µg/m³,4h,Buena,31 µg/m³,22/06/2018 4:00,1529633105
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,3h,Bona,86 µg/m³,4h,Regular,48 µg/m³,22/06/2018 4:00,1529633105
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,2h,--,--,NA,NA,NA,22/06/2018 5:00,1529636702
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,4h,Buena,1 µg/m³,4h,Bona,77 µg/m³,4h,Regular,44 µg/m³,22/06/2018 5:00,1529636702
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,4h,Buena,11 µg/m³,4h,Bona,80 µg/m³,4h,Buena,36 µg/m³,22/06/2018 5:00,1529636702
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,4h,Buena,2 µg/m³,4h,Bona,82 µg/m³,NA,NA,NA,22/06/2018 5:00,1529636702
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,4h,Buena,48 µg/m³,4h,Bona,35 µg/m³,4h,Buena,27 µg/m³,22/06/2018 5:00,1529636702
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,4h,Buena,34 µg/m³,4h,Bona,43 µg/m³,4h,Buena,30 µg/m³,22/06/2018 5:00,1529636702
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,4h,Bona,78 µg/m³,4h,Regular,47 µg/m³,22/06/2018 5:00,1529636702
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,4h,--,--,NA,NA,NA,22/06/2018 6:00,1529640305
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,5h,Buena,1 µg/m³,5h,Bona,78 µg/m³,6h,Regular,46 µg/m³,22/06/2018 6:00,1529640305
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,5h,Buena,3 µg/m³,5h,Bona,88 µg/m³,6h,Regular,37 µg/m³,22/06/2018 6:00,1529640305
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,5h,Buena,2 µg/m³,5h,Bona,76 µg/m³,NA,NA,NA,22/06/2018 6:00,1529640305
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,5h,Buena,35 µg/m³,5h,Bona,53 µg/m³,6h,Buena,27 µg/m³,22/06/2018 6:00,1529640305
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,5h,Buena,49 µg/m³,5h,Bona,28 µg/m³,6h,Buena,31 µg/m³,22/06/2018 6:00,1529640305
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,5h,Bona,59 µg/m³,6h,Regular,48 µg/m³,22/06/2018 6:00,1529640305
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,4h,--,--,NA,NA,NA,22/06/2018 7:00,1529643902
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,6h,Buena,2 µg/m³,6h,Bona,78 µg/m³,6h,Regular,45 µg/m³,22/06/2018 7:00,1529643902
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,6h,Buena,1 µg/m³,6h,Bona,89 µg/m³,6h,Regular,37 µg/m³,22/06/2018 7:00,1529643902
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,6h,Buena,2 µg/m³,6h,Bona,70 µg/m³,NA,NA,NA,22/06/2018 7:00,1529643902
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,6h,Buena,28 µg/m³,6h,Bona,60 µg/m³,6h,Buena,27 µg/m³,22/06/2018 7:00,1529643902
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,6h,Buena,41 µg/m³,6h,Bona,36 µg/m³,7h,Buena,30 µg/m³,22/06/2018 7:00,1529643902
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,6h,Bona,63 µg/m³,7h,Regular,47 µg/m³,22/06/2018 7:00,1529643902
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,6h,--,--,NA,NA,NA,22/06/2018 8:00,1529647505
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,7h,Buena,1 µg/m³,7h,Bona,88 µg/m³,8h,Regular,45 µg/m³,22/06/2018 8:00,1529647505
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,7h,Buena,2 µg/m³,7h,Bona,84 µg/m³,8h,Regular,37 µg/m³,22/06/2018 8:00,1529647505
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,7h,Buena,2 µg/m³,7h,Bona,72 µg/m³,NA,NA,NA,22/06/2018 8:00,1529647505
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,7h,Buena,11 µg/m³,7h,Bona,74 µg/m³,8h,Buena,26 µg/m³,22/06/2018 8:00,1529647505
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,7h,Buena,15 µg/m³,7h,Bona,64 µg/m³,8h,Buena,30 µg/m³,22/06/2018 8:00,1529647505
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,7h,Bona,65 µg/m³,8h,Regular,46 µg/m³,22/06/2018 8:00,1529647505
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,6h,--,--,NA,NA,NA,22/06/2018 9:00,1529651103
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,8h,Buena,2 µg/m³,8h,Regular,105 µg/m³,8h,Regular,46 µg/m³,22/06/2018 9:00,1529651103
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,8h,Buena,2 µg/m³,8h,Regular,93 µg/m³,8h,Regular,37 µg/m³,22/06/2018 9:00,1529651103
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,8h,Buena,2 µg/m³,8h,Bona,67 µg/m³,NA,NA,NA,22/06/2018 9:00,1529651103
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,8h,Buena,10 µg/m³,8h,Bona,80 µg/m³,8h,Buena,26 µg/m³,22/06/2018 9:00,1529651103
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,6 µg/m³,8h,Bona,82 µg/m³,8h,Buena,30 µg/m³,22/06/2018 9:00,1529651103
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,8h,Bona,74 µg/m³,8h,Regular,47 µg/m³,22/06/2018 9:00,1529651103
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,7h,--,--,NA,NA,NA,22/06/2018 10:00,1529654702
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,9h,Buena,2 µg/m³,9h,Regular,132 µg/m³,9h,Regular,47 µg/m³,22/06/2018 10:00,1529654702
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,9h,Buena,4 µg/m³,9h,Regular,116 µg/m³,9h,Regular,37 µg/m³,22/06/2018 10:00,1529654702
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,9h,Buena,4 µg/m³,9h,Bona,84 µg/m³,NA,NA,NA,22/06/2018 10:00,1529654702
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,9h,Buena,19 µg/m³,9h,Bona,77 µg/m³,9h,Buena,27 µg/m³,22/06/2018 10:00,1529654702
Les Corts,Spain,Les Corts District,81576.0,Regular,IZ,01,08019057,2.1151,41.3875,9h,Buena,7 µg/m³,9h,Regular,108 µg/m³,9h,Buena,30 µg/m³,22/06/2018 10:00,1529654702
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,9h,Bona,89 µg/m³,9h,Regular,46 µg/m³,22/06/2018 10:00,1529654702
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,8h,--,--,NA,NA,NA,22/06/2018 11:00,1529658302
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,10h,Buena,4 µg/m³,10h,Regular,167 µg/m³,10h,Regular,47 µg/m³,22/06/2018 11:00,1529658302
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,10h,Buena,5 µg/m³,10h,Regular,159 µg/m³,11h,Buena,36 µg/m³,22/06/2018 11:00,1529658302
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Regular,IL,01,08019050,2.1874,41.3864,10h,Buena,10 µg/m³,10h,Regular,99 µg/m³,NA,NA,NA,22/06/2018 11:00,1529658302
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,10h,Buena,40 µg/m³,10h,Bona,64 µg/m³,10h,Buena,27 µg/m³,22/06/2018 11:00,1529658302
Les Corts,Spain,Les Corts District,81576.0,Regular,IZ,01,08019057,2.1151,41.3875,10h,Buena,18 µg/m³,10h,Regular,122 µg/m³,10h,Buena,30 µg/m³,22/06/2018 11:00,1529658302
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,10h,Regular,109 µg/m³,10h,Regular,46 µg/m³,22/06/2018 11:00,1529658302
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,9h,--,--,NA,NA,NA,22/06/2018 12:00,1529661903
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,11h,Buena,7 µg/m³,11h,Regular,149 µg/m³,11h,Regular,47 µg/m³,22/06/2018 12:00,1529661903
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,11h,Buena,13 µg/m³,11h,Regular,144 µg/m³,11h,Regular,38 µg/m³,22/06/2018 12:00,1529661903
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,11h,Buena,35 µg/m³,11h,Bona,69 µg/m³,NA,NA,NA,22/06/2018 12:00,1529661903
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Regular,IN,01,08019054,2.148,41.4261,11h,Buena,29 µg/m³,11h,Regular,102 µg/m³,11h,Buena,27 µg/m³,22/06/2018 12:00,1529661903
Les Corts,Spain,Les Corts District,81576.0,Regular,IZ,01,08019057,2.1151,41.3875,11h,Buena,19 µg/m³,11h,Regular,140 µg/m³,11h,Buena,31 µg/m³,22/06/2018 12:00,1529661903
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,11h,Bona,56 µg/m³,11h,Regular,46 µg/m³,22/06/2018 12:00,1529661903
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,10h,--,--,NA,NA,NA,22/06/2018 13:00,1529665502
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,11h,Buena,7 µg/m³,11h,Regular,149 µg/m³,12h,Regular,46 µg/m³,22/06/2018 13:00,1529665502
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,12h,Buena,24 µg/m³,12h,Regular,130 µg/m³,12h,Regular,37 µg/m³,22/06/2018 13:00,1529665502
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,12h,Buena,50 µg/m³,12h,Bona,46 µg/m³,NA,NA,NA,22/06/2018 13:00,1529665502
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Regular,IN,01,08019054,2.148,41.4261,12h,Buena,44 µg/m³,12h,Regular,92 µg/m³,12h,Buena,28 µg/m³,22/06/2018 13:00,1529665502
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,12h,Buena,58 µg/m³,12h,Bona,75 µg/m³,12h,Buena,30 µg/m³,22/06/2018 13:00,1529665502
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,12h,Bona,33 µg/m³,12h,Regular,45 µg/m³,22/06/2018 13:00,1529665502
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,11h,--,--,NA,NA,NA,22/06/2018 14:00,1529669102
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,13h,Buena,49 µg/m³,13h,Regular,95 µg/m³,13h,Regular,47 µg/m³,22/06/2018 14:00,1529669102
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,13h,Buena,60 µg/m³,13h,Regular,100 µg/m³,13h,Buena,36 µg/m³,22/06/2018 14:00,1529669102
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Regular,IL,01,08019050,2.1874,41.3864,13h,Buena,11 µg/m³,13h,Regular,96 µg/m³,NA,NA,NA,22/06/2018 14:00,1529669102
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,13h,Buena,85 µg/m³,13h,Bona,46 µg/m³,13h,Buena,28 µg/m³,22/06/2018 14:00,1529669102
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,13h,Buena,99 µg/m³,13h,Bona,26 µg/m³,13h,Buena,28 µg/m³,22/06/2018 14:00,1529669102
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,13h,Bona,57 µg/m³,13h,Regular,45 µg/m³,22/06/2018 14:00,1529669102
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,--,ID,01,08019042,2.1331,41.3788,NA,NA,NA,13h,--,--,NA,NA,NA,22/06/2018 15:00,1529672703
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,14h,Buena,61 µg/m³,14h,Bona,86 µg/m³,15h,Regular,47 µg/m³,22/06/2018 15:00,1529672703
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,14h,Buena,75 µg/m³,14h,Bona,88 µg/m³,15h,Buena,36 µg/m³,22/06/2018 15:00,1529672703
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,14h,Buena,42 µg/m³,14h,Bona,58 µg/m³,NA,NA,NA,22/06/2018 15:00,1529672703
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,14h,Buena,105 µg/m³,14h,Bona,15 µg/m³,15h,Buena,27 µg/m³,22/06/2018 15:00,1529672703
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,14h,Buena,108 µg/m³,14h,Bona,18 µg/m³,15h,Buena,27 µg/m³,22/06/2018 15:00,1529672703
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,14h,Bona,41 µg/m³,15h,Regular,46 µg/m³,22/06/2018 15:00,1529672703
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,15h,Bona,16 µg/m³,NA,NA,NA,22/06/2018 16:00,1529676302
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,15h,Buena,61 µg/m³,15h,Bona,90 µg/m³,15h,Regular,47 µg/m³,22/06/2018 16:00,1529676302
Gràcia,Spain,Gràcia District,123276.0,Buena,IJ,01,08019044,2.1534,41.3987,14h,Buena,75 µg/m³,14h,Bona,88 µg/m³,15h,Buena,36 µg/m³,22/06/2018 16:00,1529676302
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,15h,Buena,45 µg/m³,15h,Bona,53 µg/m³,NA,NA,NA,22/06/2018 16:00,1529676302
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,15h,Buena,106 µg/m³,15h,Bona,11 µg/m³,15h,Buena,27 µg/m³,22/06/2018 16:00,1529676302
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,15h,Buena,107 µg/m³,15h,Bona,17 µg/m³,15h,Buena,27 µg/m³,22/06/2018 16:00,1529676302
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,15h,Bona,31 µg/m³,15h,Regular,46 µg/m³,22/06/2018 16:00,1529676302
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,16h,Bona,22 µg/m³,NA,NA,NA,22/06/2018 17:00,1529679903
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,16h,Buena,62 µg/m³,16h,Bona,85 µg/m³,16h,Regular,48 µg/m³,22/06/2018 17:00,1529679903
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,14h,Buena,75 µg/m³,14h,Bona,88 µg/m³,16h,Regular,37 µg/m³,22/06/2018 17:00,1529679903
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,16h,Buena,57 µg/m³,16h,Bona,34 µg/m³,NA,NA,NA,22/06/2018 17:00,1529679903
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,16h,Buena,107 µg/m³,16h,Bona,11 µg/m³,16h,Buena,26 µg/m³,22/06/2018 17:00,1529679903
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,16h,Buena,106 µg/m³,16h,Bona,19 µg/m³,16h,Buena,27 µg/m³,22/06/2018 17:00,1529679903
Sant Martí,Spain,Sant Martí District,241181.0,Regular,I2,01,08019004,2.2045,41.4039,NA,NA,NA,16h,Bona,32 µg/m³,16h,Regular,47 µg/m³,22/06/2018 17:00,1529679903
Sants-Montjuïc,Spain,Sants-Montjuïc,187026.0,Buena,ID,01,08019042,2.1331,41.3788,NA,NA,NA,17h,Bona,21 µg/m³,NA,NA,NA,22/06/2018 18:00,1529683503
Eixample,Spain,"Eixample, Barcelona",269349.0,Regular,IH,01,08019043,2.1538,41.3853,17h,Buena,62 µg/m³,17h,Bona,82 µg/m³,18h,Regular,47 µg/m³,22/06/2018 18:00,1529683503
Gràcia,Spain,Gràcia District,123276.0,Regular,IJ,01,08019044,2.1534,41.3987,16h,--,--,16h,--,--,18h,Regular,38 µg/m³,22/06/2018 18:00,1529683503
Ciutat Vella,Spain,"Ciutat Vella, Barcelona",109672.0,Buena,IL,01,08019050,2.1874,41.3864,17h,Buena,50 µg/m³,17h,Bona,24 µg/m³,NA,NA,NA,22/06/2018 18:00,1529683503
Horta-Guinardó,Spain,Horta-Guinardó,173944.0,Buena,IN,01,08019054,2.148,41.4261,17h,Buena,103 µg/m³,17h,Bona,12 µg/m³,18h,Buena,27 µg/m³,22/06/2018 18:00,1529683503
Les Corts,Spain,Les Corts District,81576.0,Buena,IZ,01,08019057,2.1151,41.3875,17h,Buena,104 µg/m³,17h,Bona,18 µg/m³,17h,Buena,28 µg/m³,22/06/2018 18:00,1529683503
