fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,num_personas,num_personas_hombres,num_personas_mujeres
2024-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,158,Atalaya,1672,717,955
2024-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,159,Costillares,22299,10438,11861
2024-01-01T00:00:00Z,28079,Madrid,16,Hortaleza,161,Palomas,7018,3442,3576
2024-01-01T00:00:00Z,28079,Madrid,16,Hortaleza,162,Piovera,15455,7422,8033
2024-01-01T00:00:00Z,28079,Madrid,16,Hortaleza,163,Canillas,4044,18793,21647
2024-01-01T00:00:00Z,28079,Madrid,16,Hortaleza,164,Pinar Del Rey,53313,24503,2881
2024-01-01T00:00:00Z,28079,Madrid,16,Hortaleza,165,Apostol Santiago,15842,7541,8301
2024-01-01T00:00:00Z,28079,Madrid,16,Hortaleza,166,Valdefuentes,73114,35738,37376
2024-01-01T00:00:00Z,28079,Madrid,17,Villaverde,171,"Villaverde Alto, C.H. Villaverde",50266,24101,26165
2024-01-01T00:00:00Z,28079,Madrid,17,Villaverde,172,San Cristobal,1887,9411,9459
2024-01-01T00:00:00Z,28079,Madrid,17,Villaverde,173,Butarque,22375,1081,11565
2024-01-01T00:00:00Z,28079,Madrid,17,Villaverde,174,Los Rosales,39648,19005,20643
2024-01-01T00:00:00Z,28079,Madrid,17,Villaverde,175,Ángeles,36793,17236,19557
2024-01-01T00:00:00Z,28079,Madrid,18,Villa De Vallecas,181,Casco Historico De Vallecas,41984,20266,21718
2024-01-01T00:00:00Z,28079,Madrid,18,Villa De Vallecas,182,Santa Eugenia,24168,1157,12598
2024-01-01T00:00:00Z,28079,Madrid,18,Villa De Vallecas,183,Ensanche De Vallecas,56185,27317,28868
2024-01-01T00:00:00Z,28079,Madrid,19,Vicalvaro,191,Casco Historico De Vicalvaro,37018,1776,19258
2024-01-01T00:00:00Z,28079,Madrid,19,Vicalvaro,192,Valdebernardo,17693,8425,9268
2024-01-01T00:00:00Z,28079,Madrid,19,Vicalvaro,193,Valderrivas,17868,865,9218
2024-01-01T00:00:00Z,28079,Madrid,19,Vicalvaro,194,El Canaveral,17193,8655,8538
2024-01-01T00:00:00Z,28079,Madrid,20,San Blas-canillejas,201,Simancas,30158,14293,15865
