num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S000104,2025-01-01T00:00:00Z,20:00:00,Avda. Canillejas A Vicalvaro / Call. Albaida,69,20,San Blas-canillejas,Colision Fronto-lateral,Despejado,Todo terreno,Conductor,40-44,M,14,Sin asistencia sanitaria,448086,4476110,false,
2025S000104,2025-01-01T00:00:00Z,20:00:00,Avda. Canillejas A Vicalvaro / Call. Albaida,69,20,San Blas-canillejas,Colision Fronto-lateral,Despejado,Todo terreno,Pasajero,35-39,F,14,Sin asistencia sanitaria,448086,4476110,false,
2025S000104,2025-01-01T00:00:00Z,20:00:00,Avda. Canillejas A Vicalvaro / Call. Albaida,69,20,San Blas-canillejas,Colision Fronto-lateral,Despejado,Turismo,Conductor,55-59,F,14,Sin asistencia sanitaria,448086,4476110,false,
2025S000104,2025-01-01T00:00:00Z,20:00:00,Avda. Canillejas A Vicalvaro / Call. Albaida,69,20,San Blas-canillejas,Colision Fronto-lateral,Despejado,Turismo,Pasajero,Más74,F,1,Atención en urgencias sin posterior ingreso,448086,4476110,false,
2025S000105,2025-01-01T00:00:00Z,20:11:00,"Call. Paul Guinard, 3",3,9,Moncloa-aravaca,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,45-49,F,14,Sin asistencia sanitaria,438089,4477031,false,
2025S000105,2025-01-01T00:00:00Z,20:11:00,"Call. Paul Guinard, 3",3,9,Moncloa-aravaca,Choque Contra Obstaculo Fijo,Despejado,Turismo,Pasajero,Más74,F,7,Asistencia sanitaria sólo en el lugar del accidente,438089,4477031,false,
2025S000106,2025-01-01T00:00:00Z,20:50:00,"Avda. Valladolid, 7",7,9,Moncloa-aravaca,Alcance,Despejado,Turismo,Conductor,45-49,F,14,Sin asistencia sanitaria,438329,4475310,false,
2025S000106,2025-01-01T00:00:00Z,20:50:00,"Avda. Valladolid, 7",7,9,Moncloa-aravaca,Alcance,Despejado,Turismo,Conductor,60-64,M,14,Sin asistencia sanitaria,438329,4475310,false,
2025S000106,2025-01-01T00:00:00Z,20:50:00,"Avda. Valladolid, 7",7,9,Moncloa-aravaca,Alcance,Despejado,Turismo,Pasajero,10-14,F,14,Sin asistencia sanitaria,438329,4475310,false,
2025S000106,2025-01-01T00:00:00Z,20:50:00,"Avda. Valladolid, 7",7,9,Moncloa-aravaca,Alcance,Despejado,Turismo,Pasajero,15-17,F,14,Sin asistencia sanitaria,438329,4475310,false,
2025S000106,2025-01-01T00:00:00Z,20:50:00,"Avda. Valladolid, 7",7,9,Moncloa-aravaca,Alcance,Despejado,Turismo,Pasajero,65-69,M,14,Sin asistencia sanitaria,438329,4475310,false,
2025S000107,2025-01-01T00:00:00Z,20:15:00,Avda. Marques De Corbera / Call. Alcalde Sainz De Baranda,1,15,Ciudad Lineal,Alcance,Despejado,Turismo,Conductor,60-64,M,14,Sin asistencia sanitaria,444063,4474740,false,
2025S000107,2025-01-01T00:00:00Z,20:15:00,Avda. Marques De Corbera / Call. Alcalde Sainz De Baranda,1,15,Ciudad Lineal,Alcance,Despejado,VMU eléctrico,Conductor,45-49,M,6,Asistencia sanitaria inmediata en centro de salud o mutua,444063,4474740,false,
2025S000108,2025-01-01T00:00:00Z,21:45:00,"Ronda. Valencia, 4",4,1,Centro,Colision Fronto-lateral,,Autobús,Conductor,30-34,M,14,Sin asistencia sanitaria,440600,4473022,false,
2025S000108,2025-01-01T00:00:00Z,21:45:00,"Ronda. Valencia, 4",4,1,Centro,Colision Fronto-lateral,,Turismo,Conductor,45-49,M,14,Sin asistencia sanitaria,440600,4473022,false,
2025S000109,2025-01-01T00:00:00Z,20:30:00,Call. Ponzano / Call. Rios Rosas,65,7,Chamberi,Alcance,,Turismo,Conductor,40-44,M,,,440717,4477078,false,
2025S000109,2025-01-01T00:00:00Z,20:30:00,Call. Ponzano / Call. Rios Rosas,65,7,Chamberi,Alcance,,Turismo,Conductor,50-54,M,,,440717,4477078,true,
2025S000109,2025-01-01T00:00:00Z,20:30:00,Call. Ponzano / Call. Rios Rosas,65,7,Chamberi,Alcance,,Turismo,Pasajero,30-34,F,,,440717,4477078,false,
2025S000110,2025-01-01T00:00:00Z,22:08:00,Call. Mendez Alvaro / Avda. Entrevias,84,13,Puente De Vallecas,Colision Fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor,50-54,M,1,Atención en urgencias sin posterior ingreso,442678,4471458,false,
2025S000110,2025-01-01T00:00:00Z,22:08:00,Call. Mendez Alvaro / Avda. Entrevias,84,13,Puente De Vallecas,Colision Fronto-lateral,Despejado,Turismo,Conductor,25-29,M,14,Sin asistencia sanitaria,442678,4471458,false,
2025S000111,2025-01-01T00:00:00Z,23:20:00,Autov. M-23 / Autov. M-40,0,14,Moratalaz,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,45-49,M,,,447727,4474083,false,
2025S000112,2025-01-01T00:00:00Z,23:39:00,Call. Pintor El Greco / Call. Martin Fierro,1,9,Moncloa-aravaca,Caida,Despejado,Ciclomotor,Conductor,18-20,M,1,Atención en urgencias sin posterior ingreso,437840,4476711,false,
2025S000115,2025-01-01T00:00:00Z,23:35:00,"Call. Alejandro Moran, 5",5,11,Carabanchel,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,437769,4470951,false,
2025S000207,2025-01-01T00:00:00Z,13:20:00,Call. Serrallo / Call. Berruguete,1,6,Tetuan,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,50-54,M,14,Sin asistencia sanitaria,440227,4479010,false,
2025S000216,2025-01-01T00:00:00Z,12:30:00,Call. Ayerbe / Call. Parroco Maximo Martinez De Castro,2,21,Barajas,Colision Fronto-lateral,Despejado,Turismo,Conductor,55-59,M,,,450832,4479940,false,
2025S000161,2025-01-02T00:00:00Z,4:55:00,Call. Martinez Villergas / Call. Verdaguer Y Garcia,18,15,Ciudad Lineal,Choque Contra Obstaculo Fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,444585,4476880,false,
2025S000164,2025-01-02T00:00:00Z,6:45:00,Call. San Jaime / Call. Sierra De Guadalupe,66,18,Villa De Vallecas,Caida,Despejado,Motocicleta hasta 125cc,Conductor,40-44,M,7,Asistencia sanitaria sólo en el lugar del accidente,447014,4470279,false,
2025S000165,2025-01-02T00:00:00Z,7:16:00,Avda. Menendez Pelayo / Avda. Nazaret,67,3,Retiro,Caida,Despejado,Motocicleta > 125cc,Conductor,45-49,M,2,Ingreso inferior o igual a 24 horas,442629,4473641,false,
2025S000197,2025-01-02T00:00:00Z,7:40:00,"Autov. A-4, +00600e",+00600E,13,Puente De Vallecas,Colision Fronto-lateral,Despejado,Furgoneta,Conductor,25-29,M,,,441964,4469781,false,
2025S000197,2025-01-02T00:00:00Z,7:40:00,"Autov. A-4, +00600e",+00600E,13,Puente De Vallecas,Colision Fronto-lateral,Despejado,Turismo,Conductor,40-44,M,,,441964,4469781,false,
2025S000197,2025-01-02T00:00:00Z,7:40:00,"Autov. A-4, +00600e",+00600E,13,Puente De Vallecas,Colision Fronto-lateral,Despejado,Turismo,Conductor,65-69,M,,,441964,4469781,false,
2025S000202,2025-01-02T00:00:00Z,9:30:00,Avda. Albufera / Call. Sierra De Javalambre,11,13,Puente De Vallecas,Alcance,Despejado,Bicicleta,Conductor,40-44,M,7,Asistencia sanitaria sólo en el lugar del accidente,443329,4472101,false,
