num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,same_as_wikidata_tipo_vehiculo,tipo_persona,rango_edad,sexo,same_as_wikidata_sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S042666,2025-04-14T00:00:00Z,19:41,"avda. monasterio de silos, 1",1,8,fuencarral-el pardo,https://www.wikidata.org/entity/Q656196,colision frontal,nublado,electric scooter,https://www.wikidata.org/entity/Q1327012,conductor,15-17,man,https://www.wikidata.org/entity/Q8441,7,asistencia sanitaria sólo en el lugar del accidente,439081,4483161,false,
2025S042667,2025-04-14T00:00:00Z,15:02,call. gabriela mistral / call. braojos,2,8,fuencarral-el pardo,https://www.wikidata.org/entity/Q656196,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,30-34,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,437409,4481282,false,
2025S042667,2025-04-14T00:00:00Z,15:02,call. gabriela mistral / call. braojos,2,8,fuencarral-el pardo,https://www.wikidata.org/entity/Q656196,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,40-44,man,https://www.wikidata.org/entity/Q8441,2,ingreso inferior o igual a 24 horas,437409,4481282,false,
2025S042667,2025-04-14T00:00:00Z,15:02,call. gabriela mistral / call. braojos,2,8,fuencarral-el pardo,https://www.wikidata.org/entity/Q656196,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,pasajero,55-59,man,https://www.wikidata.org/entity/Q8441,2,ingreso inferior o igual a 24 horas,437409,4481282,false,
2025S042668,2025-04-14T00:00:00Z,18:10,"paseo. castellana, 105",105,6,tetuan,https://www.wikidata.org/entity/Q1773540,colision lateral,despejado,panel van,https://www.wikidata.org/entity/Q357884,conductor,55-59,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,441422,4478452,false,
2025S042668,2025-04-14T00:00:00Z,18:10,"paseo. castellana, 105",105,6,tetuan,https://www.wikidata.org/entity/Q1773540,colision lateral,despejado,panel van,https://www.wikidata.org/entity/Q357884,pasajero,40-44,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,441422,4478452,false,
2025S042668,2025-04-14T00:00:00Z,18:10,"paseo. castellana, 105",105,6,tetuan,https://www.wikidata.org/entity/Q1773540,colision lateral,despejado,motorcycle,https://www.wikidata.org/entity/Q34493,conductor,30-34,woman,https://www.wikidata.org/entity/Q467,6,asistencia sanitaria inmediata en centro de salud o mutua,441422,4478452,false,
2025S042669,2025-04-14T00:00:00Z,19:02,"avda. albufera, 19",19,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,alcance,despejado,panel van,https://www.wikidata.org/entity/Q357884,conductor,55-59,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,443373,4472069,false,
2025S042669,2025-04-14T00:00:00Z,19:02,"avda. albufera, 19",19,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,35-39,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,443373,4472069,false,
2025S042669,2025-04-14T00:00:00Z,19:02,"avda. albufera, 19",19,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,pasajero,21-24,woman,https://www.wikidata.org/entity/Q467,7,asistencia sanitaria sólo en el lugar del accidente,443373,4472069,false,
2025S042669,2025-04-14T00:00:00Z,19:02,"avda. albufera, 19",19,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,pasajero,25-29,woman,https://www.wikidata.org/entity/Q467,7,asistencia sanitaria sólo en el lugar del accidente,443373,4472069,false,
2025S042671,2025-04-14T00:00:00Z,19:40,paseo. castellana / plzla. san juan,63,7,chamberi,https://www.wikidata.org/entity/Q1763370,alcance,despejado,bus,https://www.wikidata.org/entity/Q5638,conductor,55-59,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,441317,4477014,false,
2025S042671,2025-04-14T00:00:00Z,19:40,paseo. castellana / plzla. san juan,63,7,chamberi,https://www.wikidata.org/entity/Q1763370,alcance,despejado,bicycle,https://www.wikidata.org/entity/Q11442,conductor,35-39,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,441317,4477014,false,
2025S042672,2025-04-14T00:00:00Z,20:20,"call. agustin de foxa, 40",40,5,chamartin,https://www.wikidata.org/entity/Q1766348,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,40-44,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,442020,4480340,false,
2025S042672,2025-04-14T00:00:00Z,20:20,"call. agustin de foxa, 40",40,5,chamartin,https://www.wikidata.org/entity/Q1766348,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,45-49,woman,https://www.wikidata.org/entity/Q467,14,sin asistencia sanitaria,442020,4480340,true,
2025S042672,2025-04-14T00:00:00Z,20:20,"call. agustin de foxa, 40",40,5,chamartin,https://www.wikidata.org/entity/Q1766348,alcance,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,pasajero,6-9,man,https://www.wikidata.org/entity/Q8441,,,442020,4480340,false,
2025S042673,2025-04-14T00:00:00Z,20:20,call. tejo / call. jacaranda,3,2,arganzuela,https://www.wikidata.org/entity/Q2000929,caida,nublado,motorcycle,https://www.wikidata.org/entity/Q34493,conductor,35-39,man,https://www.wikidata.org/entity/Q8441,1,atención en urgencias sin posterior ingreso,442450,4472255,false,
2025S042681,2025-04-14T00:00:00Z,20:54,avda. logroño / call. playa de riazor,164A,21,barajas,https://www.wikidata.org/entity/Q807230,alcance,nublado,off-road vehicle,https://www.wikidata.org/entity/Q946596,conductor,55-59,man,https://www.wikidata.org/entity/Q8441,,,450624,4480716,false,
2025S042681,2025-04-14T00:00:00Z,20:54,avda. logroño / call. playa de riazor,164A,21,barajas,https://www.wikidata.org/entity/Q807230,alcance,nublado,off-road vehicle,https://www.wikidata.org/entity/Q946596,pasajero,55-59,woman,https://www.wikidata.org/entity/Q467,,,450624,4480716,false,
