nº radar,ubicacion,carretera o vial,same_as_wikidata_carretera,ubicacion calle 30,pk,sentido,Tipo,Carril,Longitud inicio tramo,Latitud inicio tramo,X (WGS84),Y (WGS84),Longitud,Latitud,Velocidad limite,Responsable,same_as_wikidata_responsable
26,"m-30 sentido ctra del pardo (avda. de la ilustracion - ctra. del pardo) p.k. 27,300",M-30,https://www.wikidata.org/entity/Q2352840,,27+300,,fijo,fijo multicarril,,,438043.00,4480491.00,-3.73089695,40.47279048,90,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
27,"paseo de la castellana nº 300, salida",Paseo de la Castellana,https://www.wikidata.org/entity/Q1473674,,300,salida,fijo,todos,,,441904.00,4481314.00,-3.68542793,40.48048344,50,Direcció General de la Policia,https://www.wikidata.org/entity/Q11917322
28,"avenida de cordoba con calle doctor tolosa latour, sentido glorieta de malaga",Avenida de Córdoba,https://www.wikidata.org/entity/Q63247230,,inicio: glorieta de cadiz fin: avenida de cordoba con calle doctor tolosa latour,salida,radar de tramo,"salida, radar de tramo",-3.699380,40.387572,440873.00,4470025.29,-3.696519,40.378590,50,Madrid City Council,https://www.wikidata.org/entity/Q3773976
29,"a-5 pk 5+750, sentido salida",A5,https://www.wikidata.org/entity/Q429719,,p.k 4+000 ----- p.k. 5+750,salida,radar de tramo,"salida, radar de tramo",-3.74574755307117,40.4072412609861,435202.237655954,4472448.48639425,-3.76358611606955,40.4001241953525,70,Madrid City Council,https://www.wikidata.org/entity/Q3773976
30,"a-5 pk 4+000, sentido entrada",A5,https://www.wikidata.org/entity/Q429719,,p.k. 5+750 ----- p.k 4+000,entrada,radar de tramo,"entrada, radar de tramo",-3.76358611606955,40.4001241953525,436722.693562517,4473225.55366121,-3.74574755307117,40.4072412609861,70,Madrid City Council,https://www.wikidata.org/entity/Q3773976
31,"sinesio delgado, sentido ciudad universitaria, farolas 144 -152",Sinesio Delgado Street,https://www.wikidata.org/entity/Q52245452,,,ciudad universitaria,radar de tramo,radar de tramo,-3.712945,40.469247,,,-3.714454,40.467149,50,Madrid City Council,https://www.wikidata.org/entity/Q3773976
32,"sinesio delgado, sentido ciudad universitaria, farolas 152 - 188",Sinesio Delgado Street,https://www.wikidata.org/entity/Q52245452,,,ciudad universitaria,radar de tramo,radar de tramo,-3.714454,40.467149,,,-3.728241,40.460303,50,Madrid City Council,https://www.wikidata.org/entity/Q3773976
33,"sinesio delgado, sentido ciudad universitaria, farolas 144 -188",Sinesio Delgado Street,https://www.wikidata.org/entity/Q52245452,,,ciudad universitaria,radar de tramo,radar de tramo,-3.712945,40.469247,,,-3.728241,40.460303,50,Madrid City Council,https://www.wikidata.org/entity/Q3773976
34,"sinesio delgado, sentido av betanzos, farola 187-152",Sinesio Delgado Street,https://www.wikidata.org/entity/Q52245452,,,av betanzos,radar de tramo,radar de tramo,-3.728207,40.460208,,,-3.714454,40.467149,50,Madrid City Council,https://www.wikidata.org/entity/Q3773976
35,"sinesio delgado, sentido av betanzos, farola 152- 143",Sinesio Delgado Street,https://www.wikidata.org/entity/Q52245452,,,av betanzos,radar de tramo,radar de tramo,-3.714454,40.467149,,,-3.712743,40.469208,50,Madrid City Council,https://www.wikidata.org/entity/Q3773976
36,"sinesio delgado, sentido av betanzos, farola 187-143",Sinesio Delgado Street,https://www.wikidata.org/entity/Q52245452,,,av betanzos,radar de tramo,radar de tramo,-3.728207,40.460208,,,-3.712743,40.469208,50,Madrid City Council,https://www.wikidata.org/entity/Q3773976
